epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,8117.48,0.90808,0.45553,1.00771,0.98591,0.98236,0.99308,0.82388,0.78404,0.3504,0.96317,0.0002971,0.0002971,0.0002971
1,118.986,1.86246,1.46589,1.49877,0.65419,0.62518,0.66595,0.32486,1.79327,2.42376,1.49025,0.0670747,0.000332579,0.000332579
2,233.237,1.62428,1.08524,1.38095,0.82176,0.77866,0.84951,0.48735,1.59589,0.97946,1.31496,0.0340615,0.000652727,0.000652727
3,347.613,1.51571,0.96708,1.3258,0.85869,0.80186,0.87538,0.48026,1.59323,0.91698,1.33694,0.00103509,0.000959676,0.000959676
4,461.209,1.47509,0.91221,1.29636,0.89017,0.88816,0.93161,0.53592,1.52234,0.75539,1.25823,0.0009406,0.0009406,0.0009406
5,575.979,1.41517,0.84629,1.26616,0.90726,0.84745,0.926,0.56844,1.42023,0.79289,1.23817,0.0009208,0.0009208,0.0009208
6,688.585,1.36753,0.80909,1.23969,0.92169,0.91998,0.9607,0.62919,1.28118,0.67972,1.16812,0.000901,0.000901,0.000901
7,800.834,1.33006,0.77177,1.21788,0.93259,0.91927,0.95923,0.56488,1.49638,0.6795,1.25299,0.0008812,0.0008812,0.0008812
8,913.434,1.30415,0.75061,1.20761,0.92815,0.90875,0.96777,0.64263,1.25793,0.62125,1.1459,0.0008614,0.0008614,0.0008614
9,1026.58,1.27511,0.72543,1.19176,0.9371,0.91343,0.95951,0.63982,1.23963,0.63834,1.13232,0.0008416,0.0008416,0.0008416
10,1138.7,1.2494,0.7065,1.18084,0.9358,0.93444,0.9686,0.645,1.2666,0.61255,1.14117,0.0008218,0.0008218,0.0008218
11,1252.03,1.24043,0.6946,1.17327,0.92401,0.93888,0.95928,0.67867,1.1333,0.55981,1.11015,0.000802,0.000802,0.000802
12,1364.41,1.20772,0.67748,1.16128,0.94463,0.94525,0.97196,0.69707,1.10136,0.52622,1.08354,0.0007822,0.0007822,0.0007822
13,1477.54,1.20058,0.66459,1.15299,0.94574,0.93791,0.9678,0.66989,1.17544,0.56126,1.09954,0.0007624,0.0007624,0.0007624
14,1589.99,1.19203,0.65454,1.1528,0.95935,0.93861,0.9749,0.71785,1.0528,0.52468,1.05509,0.0007426,0.0007426,0.0007426
15,1702.75,1.17021,0.63964,1.13638,0.94896,0.95087,0.97156,0.71803,1.02043,0.51118,1.04813,0.0007228,0.0007228,0.0007228
16,1815.27,1.15498,0.63122,1.13224,0.96344,0.94939,0.9804,0.72382,1.03779,0.50288,1.0519,0.000703,0.000703,0.000703
17,1928.29,1.14555,0.62201,1.12796,0.96615,0.95695,0.9827,0.72303,1.0352,0.4855,1.04613,0.0006832,0.0006832,0.0006832
18,2041.88,1.14044,0.61998,1.12208,0.9584,0.95788,0.98353,0.73337,1.01585,0.4816,1.03476,0.0006634,0.0006634,0.0006634
19,2154.04,1.12701,0.6054,1.11813,0.96051,0.956,0.98167,0.73444,0.99078,0.4819,1.0347,0.0006436,0.0006436,0.0006436
